stroke_data:
-0.3615, -0.3518, -0.4913
-0.3105, -0.4704, -0.5863
-0.2588, -0.5967, -0.6814
-0.2065, -0.7206, -0.7740
-0.1537, -0.8322, -0.8626
-0.0991, -0.9385, -0.9459
-0.0450, -1.0407, -1.0215
0.0066, -1.1336, -1.0884
0.0536, -1.2258, -1.1446
0.0941, -1.3209, -1.1915
0.1270, -1.4149, -1.2261
0.1511, -1.5048, -1.2466
0.1670, -1.5824, -1.2506
0.1770, -1.6400, -1.2371
0.1764, -1.6811, -1.2065
0.1647, -1.7129, -1.1589
0.1378, -1.7054, -1.0919
0.0973, -1.6509, -1.0050
0.0457, -1.5782, -0.8993
-0.0147, -1.4920, -0.7778
-0.0793, -1.3970, -0.6469
-0.1461, -1.3020, -0.5171
-0.2165, -1.1900, -0.3979
-0.2934, -1.0522, -0.2975
-0.3767, -0.8880, -0.2211
-0.4676, -0.6991, -0.1753
-0.5697, -0.5108, -0.1682
-0.6871, -0.3231, -0.2063
-0.8226, -0.1383, -0.2913
-0.9775, 0.0353, -0.4251
-1.1529, 0.2107, -0.6105
-1.3448, 0.3978, -0.8463
-1.5502, 0.5973, -1.1309
-1.7679, 0.8155, -1.4624
-1.9927, 1.0543, -1.8380
-2.2221, 1.3113, -2.2540
-2.4521, 1.5888, -2.7088
-2.6810, 1.8786, -3.2011
-2.9075, 2.1749, -3.7304
-3.1310, 2.4788, -4.2944
-3.3499, 2.7921, -4.8923
-3.5606, 3.0995, -5.5232
-3.7577, 3.3888, -6.1857
-3.9396, 3.6768, -6.8834
-4.1039, 3.9673, -7.6175
-4.2495, 4.2301, -8.3863
-4.3733, 4.4466, -9.1908
-4.4730, 4.6354, -10.0265
-4.5469, 4.8261, -10.8868
-4.5932, 5.0267, -11.7635
-4.6067, 5.2350, -12.6479
-4.5867, 5.4497, -13.5317
-4.5310, 5.6497, -14.4066
-4.4353, 5.8562, -15.2675
-4.2950, 6.0645, -16.1102
-4.1107, 6.2715, -16.9330
-3.8882, 6.4986, -17.7340
-3.6311, 6.7256, -18.5121
-3.3418, 6.9362, -19.2650
-3.0166, 7.1104, -19.9915
-2.6521, 7.2394, -20.6910
-2.2448, 7.3239, -21.3647
-1.7929, 7.3678, -22.0114
-1.2899, 7.3970, -22.6305
-0.7341, 7.4064, -23.2249
-0.1308, 7.3781, -23.7977
0.5154, 7.3199, -24.3522
1.1986, 7.2470, -24.8938
1.9117, 7.1525, -25.4255
2.6482, 7.0109, -25.9448
3.4030, 6.8002, -26.4471
4.1701, 6.5307, -26.9254
4.9512, 6.2319, -27.3725
5.7535, 5.9167, -27.7833
6.5687, 5.6120, -28.1541
7.3951, 5.3437, -28.4727
8.2249, 5.0959, -28.7209
9.0513, 4.8934, -28.8846
9.8653, 4.6797, -28.9520
10.6776, 4.4272, -28.9203
11.4763, 4.1425, -28.7905
12.2657, 3.8636, -28.5680
13.0486, 3.6053, -28.2581
13.8298, 3.3447, -27.8625
14.6110, 3.0781, -27.3876
15.3839, 2.8140, -26.8453
16.1522, 2.5433, -26.2461
16.9093, 2.2645, -25.6040
17.6493, 1.9627, -24.9313
18.3636, 1.6328, -24.2358
19.0479, 1.3111, -23.5168
19.6947, 0.9947, -22.7791
20.2980, 0.6906, -22.0331
20.8462, 0.4112, -21.2877
21.3316, 0.1493, -20.5576
21.7495, -0.1014, -19.8615
22.0911, -0.3626, -19.2106
22.3599, -0.6508, -18.6137
22.5565, -0.9567, -18.0725
22.6915, -1.2790, -17.5806
22.7743, -1.5954, -17.1351
22.8125, -1.8930, -16.7366
22.8137, -2.1695, -16.3821
22.7773, -2.4261, -16.0704
22.7069, -2.6586, -15.7992
22.6037, -2.8611, -15.5655
22.4775, -3.0291, -15.3659
22.3250, -3.1636, -15.2004
22.1530, -3.2740, -15.0683
21.9588, -3.3533, -14.9702
21.7405, -3.3962, -14.9068
21.4935, -3.4245, -14.8815
21.2141, -3.4475, -14.8955
20.9049, -3.4546, -14.9489
20.5704, -3.4459, -15.0380
20.2165, -3.4272, -15.1594
19.8515, -3.3856, -15.3096
19.4771, -3.3164, -15.4880
19.1092, -3.2220, -15.6892
18.7512, -3.1036, -15.9122
18.4056, -2.9658, -16.1527
18.0746, -2.8068, -16.4056
17.7613, -2.6214, -16.6649
17.4684, -2.4097, -16.9284
17.1979, -2.1662, -17.1942
16.9503, -1.9028, -17.4641
16.7261, -1.6394, -17.7381
16.5231, -1.3683, -18.0186
16.3353, -1.1031, -18.3090
16.1710, -0.8573, -18.6130
16.0331, -0.6144, -18.9316
15.9258, -0.3686, -19.2637
15.8548, -0.1269, -19.6111
15.8220, 0.1031, -19.9713
15.8308, 0.3219, -20.3422
15.8854, 0.5207, -20.7230
15.9881, 0.6932, -21.1121
16.1437, 0.8357, -21.5099
16.3479, 0.9706, -21.9201
16.6044, 1.1008, -22.3408
16.9114, 1.2193, -22.7686
17.2712, 1.3277, -23.1975
17.6820, 1.4151, -23.6218
18.1445, 1.4872, -24.0343
18.6604, 1.5746, -24.4280
19.2291, 1.6719, -24.7983
19.8489, 1.7833, -25.1445
20.5180, 1.9188, -25.4649
21.2316, 2.0789, -25.7594
21.9729, 2.2414, -26.0270
22.7447, 2.3792, -26.2658
23.5475, 2.5065, -26.4723
24.3897, 2.6338, -26.6442
25.2806, 2.7622, -26.7785
26.2203, 2.8783, -26.8730
27.2033, 2.9698, -26.9257
28.2245, 3.0389, -26.9415
29.2833, 3.0975, -26.9274
