x, y, z
  0.2483,  -0.3142,   0.4424
  0.3263,  -0.3182,   0.4334
  0.3643,  -0.3257,   0.4411
  0.3798,  -0.3704,   0.4371
  0.3677,  -0.3894,   0.4210
  0.4068,  -0.4431,   0.3677
  0.4223,  -0.4686,   0.3102
  0.4240,  -0.4904,   0.2682
  0.4077,  -0.5237,   0.2255
  0.3490,  -0.5480,   0.2089
  0.2517,  -0.5636,   0.2223
  0.1570,  -0.5607,   0.2545
  0.0960,  -0.5750,   0.2567
  0.0381,  -0.5963,   0.2263
  0.0293,  -0.6182,   0.1888
  0.0297,  -0.6212,   0.1644
  0.0431,  -0.6160,   0.1355
  0.0657,  -0.6115,   0.0977
  0.1005,  -0.6116,   0.0580
  0.1355,  -0.6015,   0.0289
  0.1512,  -0.5951,   0.0037
  0.1600,  -0.5882,  -0.0175
  0.1627,  -0.6131,  -0.0544
  0.1730,  -0.6149,  -0.0681
  0.1602,  -0.6045,  -0.0709
  0.1399,  -0.5916,  -0.0687
  0.1072,  -0.5847,  -0.0798
  0.0728,  -0.5797,  -0.0858
  0.0278,  -0.5568,  -0.0564
  0.0103,  -0.5403,  -0.0320
  0.0161,  -0.5149,  -0.0225
  0.0281,  -0.4849,  -0.0104
  0.0507,  -0.4591,  -0.0062
  0.0671,  -0.4507,  -0.0217
  0.0637,  -0.4467,  -0.0167
  0.0751,  -0.4336,   0.0046
  0.0812,  -0.4297,   0.0385
  0.0881,  -0.4172,   0.0913
  0.1008,  -0.4287,   0.1389
  0.1246,  -0.4402,   0.1674
  0.1659,  -0.4425,   0.1992
  0.1826,  -0.4531,   0.2177
  0.2003,  -0.4417,   0.2141
  0.1882,  -0.4187,   0.2197
  0.1762,  -0.3986,   0.2245
  0.1543,  -0.3986,   0.2410
  0.1072,  -0.3938,   0.2755
  0.0864,  -0.4035,   0.3099
  0.0620,  -0.4194,   0.3230
  0.0154,  -0.4135,   0.3496
 -0.0588,  -0.3953,   0.3766
 -0.1198,  -0.3779,   0.3994
 -0.1812,  -0.3821,   0.4109
 -0.2197,  -0.3810,   0.4295
 -0.2056,  -0.4074,   0.4527
 -0.2039,  -0.4391,   0.4966
 -0.2050,  -0.4258,   0.5531
 -0.1973,  -0.4229,   0.5712
 -0.2102,  -0.4088,   0.6181
 -0.2409,  -0.3695,   0.6756
 -0.2230,  -0.3596,   0.7238
 -0.1375,  -0.3545,   0.7895
 -0.0344,  -0.3549,   0.8932
  0.0964,  -0.3311,   0.9696
  0.1555,  -0.3438,   1.0768
  0.3093,  -0.3407,   1.1850
  0.3485,  -0.3717,   1.2275
  0.3305,  -0.3572,   1.2951
  0.2936,  -0.3421,   1.3904
  0.3419,  -0.3482,   1.4705
  0.3482,  -0.3506,   1.5889
  0.3807,  -0.3458,   1.6954
  0.3225,  -0.3378,   1.7559
  0.3845,  -0.3361,   1.9119
  0.3605,  -0.3512,   2.0099
  0.3689,  -0.3941,   2.0408
  0.3284,  -0.4099,   2.0632
  0.3344,  -0.4291,   2.0357
  0.3457,  -0.4425,   1.9454
  0.3521,  -0.4440,   1.8414
  0.3938,  -0.4707,   1.7366
  0.3341,  -0.4704,   1.7504
  0.2315,  -0.4663,   1.8183
  0.1808,  -0.4491,   1.8530
  0.1328,  -0.4523,   1.8603
  0.1191,  -0.4277,   1.8195
  0.0782,  -0.4491,   1.7331
  0.0415,  -0.4379,   1.6379
  0.0273,  -0.4713,   1.5146
  0.0060,  -0.4787,   1.3907
 -0.0232,  -0.4856,   1.2843
 -0.0796,  -0.4999,   1.1704
 -0.1523,  -0.4978,   1.0909
 -0.2437,  -0.4860,   1.0570
 -0.3397,  -0.4673,   1.0699
 -0.4148,  -0.4373,   1.1250
 -0.4551,  -0.4109,   1.2060
 -0.4478,  -0.3938,   1.2499
 -0.4041,  -0.3744,   1.2632
 -0.3742,  -0.3493,   1.2768
 -0.3088,  -0.3230,   1.2629
 -0.2020,  -0.2936,   1.2065
 -0.0930,  -0.2722,   1.1230
  0.0095,  -0.2620,   1.0370
  0.0776,  -0.2499,   0.9707
  0.1465,  -0.2326,   0.9054
  0.1906,  -0.2365,   0.8578
  0.2241,  -0.2217,   0.8334
  0.2562,  -0.2203,   0.8186
  0.2830,  -0.2103,   0.8153
  0.3109,  -0.2075,   0.8164
  0.3224,  -0.2020,   0.8200
  0.3203,  -0.1978,   0.8478
  0.3186,  -0.1965,   0.8810
  0.3057,  -0.1918,   0.9192
  0.2804,  -0.1904,   0.9607
  0.2608,  -0.1925,   1.0017
  0.2380,  -0.1904,   1.0482
  0.1843,  -0.2002,   1.0747
  0.1538,  -0.1959,   1.0905
  0.1386,  -0.1990,   1.0962
  0.1270,  -0.2091,   1.0933
  0.1298,  -0.2108,   1.0901
  0.1309,  -0.2157,   1.0898
  0.1412,  -0.2195,   1.0872
  0.1523,  -0.2233,   1.0880
  0.1619,  -0.2277,   1.0828
  0.1541,  -0.2296,   1.0794
  0.1469,  -0.2227,   1.0827
  0.1399,  -0.2151,   1.0771
  0.1456,  -0.2191,   1.0603
  0.1593,  -0.2208,   1.0439
  0.1859,  -0.2223,   1.0202
  0.1980,  -0.2262,   1.0052
  0.1920,  -0.2232,   0.9960
  0.1896,  -0.2258,   0.9875
  0.1773,  -0.2235,   0.9844
  0.1681,  -0.2247,   0.9788
