x, y, z
  0.6548,  -0.6651,   0.2149
  0.6331,  -0.6831,   0.2283
  0.5974,  -0.7118,   0.2490
  0.5742,  -0.7013,   0.2831
  0.5725,  -0.7100,   0.2759
  0.5471,  -0.7162,   0.2578
  0.5261,  -0.7178,   0.2625
  0.4931,  -0.7071,   0.2783
  0.4590,  -0.6969,   0.3024
  0.4263,  -0.7038,   0.3567
  0.4122,  -0.6820,   0.4496
  0.4221,  -0.6796,   0.4983
  0.4061,  -0.6920,   0.5363
  0.3692,  -0.6708,   0.5905
  0.3331,  -0.6727,   0.6599
  0.3063,  -0.6519,   0.7772
  0.2687,  -0.6564,   0.8843
  0.2192,  -0.6861,   0.9870
  0.2449,  -0.6869,   1.0454
  0.3027,  -0.7201,   1.0389
  0.3673,  -0.7273,   0.9793
  0.4227,  -0.7510,   0.8703
  0.4986,  -0.7671,   0.7718
  0.6240,  -0.8291,   0.6405
  0.8305,  -0.8683,   0.5712
  0.9580,  -0.8824,   0.5725
  0.9246,  -0.8926,   0.6117
  0.8809,  -0.8742,   0.6826
  0.8131,  -0.8328,   0.8207
  0.7099,  -0.8006,   0.9865
  0.6924,  -0.7991,   1.0807
  0.6138,  -0.7921,   1.1459
  0.5742,  -0.7996,   1.2216
  0.5602,  -0.7720,   1.3334
  0.5080,  -0.7586,   1.4093
  0.4328,  -0.7385,   1.4925
  0.3478,  -0.7099,   1.5384
  0.2691,  -0.7252,   1.5390
  0.1978,  -0.7267,   1.5386
  0.0964,  -0.7266,   1.5251
 -0.0289,  -0.7218,   1.5118
 -0.1405,  -0.7042,   1.4822
 -0.2410,  -0.7003,   1.4223
 -0.2953,  -0.6897,   1.3768
 -0.2936,  -0.6837,   1.2915
 -0.2294,  -0.6861,   1.1692
 -0.1459,  -0.6836,   1.0515
 -0.0947,  -0.6636,   0.9489
 -0.0845,  -0.6563,   0.8456
 -0.0549,  -0.6436,   0.8051
 -0.0447,  -0.6482,   0.8024
  0.0273,  -0.6704,   0.8719
 -0.0060,  -0.6631,   0.9767
 -0.0969,  -0.6703,   1.1139
 -0.1860,  -0.6619,   1.2965
 -0.3268,  -0.6460,   1.4154
 -0.4141,  -0.6392,   1.5088
 -0.5495,  -0.6256,   1.5137
 -0.6181,  -0.6283,   1.5325
 -0.6861,  -0.6190,   1.5461
 -0.7322,  -0.6133,   1.5296
 -0.6920,  -0.6021,   1.4444
 -0.6265,  -0.6061,   1.3100
 -0.6183,  -0.6089,   1.1859
 -0.6015,  -0.6140,   1.0843
 -0.5180,  -0.6121,   0.9964
 -0.4298,  -0.6193,   0.9097
 -0.3717,  -0.6087,   0.8679
 -0.3297,  -0.6017,   0.8385
 -0.3077,  -0.6000,   0.8338
 -0.3056,  -0.5759,   0.8539
 -0.3328,  -0.5538,   0.8625
 -0.3507,  -0.5357,   0.8361
 -0.3417,  -0.5187,   0.7902
 -0.2879,  -0.5200,   0.7265
 -0.2837,  -0.5183,   0.6726
 -0.2394,  -0.5194,   0.6023
 -0.1843,  -0.5172,   0.5475
 -0.1830,  -0.5230,   0.5390
 -0.1790,  -0.5171,   0.5405
 -0.1758,  -0.5263,   0.5352
 -0.1686,  -0.5297,   0.5415
 -0.1483,  -0.5278,   0.5643
 -0.1288,  -0.5210,   0.6032
 -0.1014,  -0.5122,   0.6586
 -0.0927,  -0.5045,   0.7271
 -0.0945,  -0.4937,   0.8139
 -0.1086,  -0.4878,   0.8821
 -0.1067,  -0.4971,   0.8986
 -0.0967,  -0.5177,   0.8783
 -0.0812,  -0.5449,   0.8405
 -0.0522,  -0.5668,   0.8025
 -0.0424,  -0.5831,   0.7719
 -0.0326,  -0.5974,   0.7667
 -0.0387,  -0.5960,   0.8028
 -0.0488,  -0.5968,   0.8375
 -0.0403,  -0.6005,   0.8738
 -0.0321,  -0.5939,   0.9059
 -0.0319,  -0.5968,   0.9276
 -0.0293,  -0.5993,   0.9329
 -0.0200,  -0.6023,   0.9182
 -0.0060,  -0.6093,   0.8915
 -0.0043,  -0.6076,   0.8882
 -0.0186,  -0.6102,   0.8900
 -0.0193,  -0.6099,   0.9032
 -0.0100,  -0.6071,   0.9160
 -0.0145,  -0.6107,   0.9126
 -0.0011,  -0.6123,   0.9070
  0.0089,  -0.6171,   0.8902
  0.0126,  -0.6198,   0.8813
  0.0229,  -0.6156,   0.8883
  0.0236,  -0.6153,   0.8885
  0.0439,  -0.6094,   0.9058
  0.0464,  -0.6019,   0.9225
  0.0337,  -0.6033,   0.9312
  0.0278,  -0.5963,   0.9309
  0.0182,  -0.5930,   0.9215
 -0.0006,  -0.5979,   0.9073
 -0.0021,  -0.5987,   0.8896
  0.0106,  -0.6050,   0.8692
  0.0270,  -0.6049,   0.8478
  0.0339,  -0.6060,   0.8354
  0.0454,  -0.6000,   0.8277
  0.0421,  -0.6010,   0.8208
  0.0310,  -0.5917,   0.8439
  0.0122,  -0.5847,   0.8732
 -0.0084,  -0.5801,   0.8988
 -0.0168,  -0.5768,   0.9104
 -0.0234,  -0.5761,   0.9064
 -0.0339,  -0.5774,   0.8937
 -0.0430,  -0.5794,   0.8769
 -0.0470,  -0.5806,   0.8590
 -0.0464,  -0.5864,   0.8367
 -0.0490,  -0.5894,   0.8203
 -0.0542,  -0.5939,   0.8108
 -0.0469,  -0.6011,   0.8040
 -0.0275,  -0.5965,   0.8002
 -0.0136,  -0.5976,   0.8028
 -0.0033,  -0.5973,   0.7992
  0.0216,  -0.5982,   0.8036
  0.0297,  -0.5910,   0.8181
