[14:14:52.307] tio v2.7
[14:14:52.307] Press ctrl-t q to quit
[14:14:52.307] Connected
[14:14:56.404] Disconnected
[14:14:57.405] Connected
Starting the tinyML hello world demo
x_value: 0.973894, y_value: 0.855676
x_value: 0.980177, y_value: 0.855676
x_value: 0.986460, y_value: 0.889564
x_value: 0.992743, y_value: 0.889564
x_value: 0.999026, y_value: 0.889564
x_value: 1.005310, y_value: 0.889564
x_value: 1.011593, y_value: 0.881092
x_value: 1.017876, y_value: 0.881092
x_value: 1.024159, y_value: 0.881092
x_value: 1.030442, y_value: 0.881092
x_value: 1.036726, y_value: 0.906508
x_value: 1.043009, y_value: 0.906508
x_value: 1.049292, y_value: 0.906508
x_value: 1.055575, y_value: 0.906508
x_value: 1.061858, y_value: 0.889564
x_value: 1.068142, y_value: 0.889564
x_value: 1.074425, y_value: 0.889564
x_value: 1.080708, y_value: 0.889564
x_value: 1.086991, y_value: 0.906508
x_value: 1.093274, y_value: 0.906508
x_value: 1.099557, y_value: 0.906508
x_value: 1.105841, y_value: 0.931924
x_value: 1.112124, y_value: 0.931924
x_value: 1.118407, y_value: 0.931924
x_value: 1.124690, y_value: 0.931924
x_value: 1.130973, y_value: 0.923452
x_value: 1.137257, y_value: 0.923452
x_value: 1.143540, y_value: 0.923452
x_value: 1.149823, y_value: 0.923452
x_value: 1.156106, y_value: 0.948868
x_value: 1.162389, y_value: 0.948868
x_value: 1.168673, y_value: 0.948868
x_value: 1.174956, y_value: 0.948868
x_value: 1.181239, y_value: 0.965812
x_value: 1.187522, y_value: 0.965812
x_value: 1.193805, y_value: 0.965812
x_value: 1.200088, y_value: 0.965812
x_value: 1.206372, y_value: 0.957340
x_value: 1.212655, y_value: 0.957340
x_value: 1.218938, y_value: 0.957340
x_value: 1.225221, y_value: 0.957340
x_value: 1.231504, y_value: 0.982756
x_value: 1.237787, y_value: 0.982756
x_value: 1.244071, y_value: 0.982756
x_value: 1.250354, y_value: 0.982756
x_value: 1.256637, y_value: 0.965812
x_value: 1.262920, y_value: 0.965812
x_value: 1.269204, y_value: 0.965812
x_value: 1.275487, y_value: 0.965812
