x, y, z
-47.1816,   9.5828, -44.6181
-45.9609,  11.2308, -40.7727
-44.3129,  17.0904, -37.1105
-42.2376,  24.4758, -33.5704
-39.8572,  28.9926, -30.4575
-37.5988,  31.1289, -28.1381
-35.7677,  30.1523, -26.7953
-33.8755,  26.6732, -25.8797
-31.6782,  20.0812, -25.2083
-28.9315,  14.8930, -24.6590
-25.9407,  10.8036, -24.0486
-22.8278,   6.9582, -23.1941
-19.4098,   3.0519, -22.0954
-15.7476,   0.3052, -20.4474
-12.0243,   0.4273, -18.6163
 -8.3621,   2.9298, -16.7241
 -4.6999,   6.4699, -14.8930
 -0.8545,   9.9490, -12.8788
  3.2960,  11.4750, -10.6204
  7.2024,  13.7944,  -8.6673
 10.8036,  16.6021,  -7.0193
 14.7099,  18.0059,  -5.7985
 18.7994,  17.8228,  -4.9440
 22.7668,  16.0527,  -4.5778
 26.4290,  13.0619,  -4.5778
 29.9692,  10.3153,  -4.4557
 33.6924,   8.4841,  -4.4557
 37.6598,   6.2868,  -4.1505
 42.0545,   2.7467,  -3.4791
 46.9985,  -1.5259,  -2.8077
 51.8815,  -6.0427,  -2.2584
 56.5813,  -9.1556,  -1.8311
 60.4877, -10.6204,  -1.5259
 63.7226, -12.2684,  -1.1597
 66.7135, -12.8788,  -0.3662
 69.2160, -12.3295,   0.7324
 71.5354, -13.2450,   2.3804
 74.1600, -13.7944,   4.2116
 77.0287, -13.6113,   5.8596
 80.1416, -12.5736,   7.2634
 83.1935, -11.2918,   8.4231
 85.8180, -12.2074,   9.3997
 88.2595, -11.3529,  10.0711
 90.5179,  -8.3621,  10.3153
 92.9594,  -5.8596,  10.1321
 95.3398,  -6.7751,   9.5828
 97.8423,  -9.5218,   8.3010
100.8332, -14.5268,   6.4699
103.9460, -20.9357,   4.0284
107.1810, -25.6966,   1.5259
110.4160, -30.0302,  -0.9766
113.0406, -35.2184,  -3.7233
115.9703, -39.3078,  -6.5310
119.0832, -42.3597, -10.0101
121.7689, -47.9751, -14.2827
124.2103, -52.3698, -18.6773
126.4077, -54.8723, -22.3395
127.5674, -57.0696, -24.2927
128.4219, -55.7878, -24.9031
128.6050, -52.7360, -24.4758
127.5063, -44.1298, -22.7058
126.7129, -40.5896, -19.7150
126.2856, -41.3221, -17.3955
125.4311, -44.3739, -16.0527
124.2714, -46.9985, -14.6489
122.0130, -50.3555, -12.9398
118.5949, -54.3229, -10.8036
114.2003, -56.8255,  -8.8504
107.5472, -46.5712,  -7.5076
 99.7345, -39.4299,  -5.8596
 91.3724, -31.4341,  -3.7843
 82.8883, -27.6498,  -1.7090
 74.4041, -26.3680,   0.7324
 67.0186, -24.2927,   3.2350
 60.7318, -21.3630,   5.7985
 56.2151, -15.4424,   8.7283
 51.8204,  -9.9490,  11.4750
 46.3881,  -9.1556,  13.6723
 40.2844,  -9.2776,  15.3203
 33.5093,  -6.2868,  16.2358
 26.7342,  -0.4883,  16.7241
 20.9357,   3.5401,  17.0293
 16.0527,   3.6622,  17.2735
 12.4516,   0.1831,  17.5787
 10.0711,  -2.9908,  17.8228
  8.7283,  -4.7609,  17.8228
  8.7893,  -5.3713,  17.3345
  9.3387,  -3.1129,  15.8086
 10.0711,   0.4883,  13.0009
 10.4984,   2.8687,   9.0335
 10.2542,   3.6012,   4.2726
  8.7893,   1.8311,  -0.7935
  6.8361,  -1.7701,  -5.5544
  4.3336,  -4.7609,  -9.8880
  1.7701,  -9.4607, -13.9164
 -1.0987, -15.6865, -17.1514
 -3.5401, -18.6773, -19.5929
 -5.3102, -18.9215, -21.1798
 -6.2258, -18.3721, -21.6681
 -6.2868, -17.8228, -21.5461
 -5.6764, -16.8462, -21.1188
 -4.3336, -15.6865, -20.2643
 -2.6856, -15.2593, -19.1656
 -0.8545, -15.0761, -17.8228
  1.0376, -14.7099, -16.4190
  2.8687, -14.3437, -14.6489
  4.8219, -13.8554, -12.8788
  6.4699, -13.7333, -11.1698
  7.8127, -13.3671,  -9.5218
  8.7283, -11.7801,  -8.1790
  9.2166, -10.6204,  -6.8361
  9.3387,  -9.3997,  -5.7985
  8.9724,  -8.6673,  -5.0050
  8.1790, -10.6815,  -4.5167
  7.5686, -12.6347,  -4.4557
  6.8972, -13.3671,  -4.6388
  6.2868, -13.1840,  -5.0661
  5.7375, -11.7191,  -5.4323
  5.3713,  -9.9490,  -5.7985
  5.0050,  -8.6673,  -6.0427
  4.6388,  -7.9348,  -5.9816
  4.2116,  -7.5686,  -5.6764
  3.9064,  -7.9958,  -5.4933
  3.6622,  -7.9348,  -5.3713
  3.1739,  -7.8738,  -5.4323
  2.9908,  -8.4231,  -5.4933
  2.8687,  -8.7283,  -5.2492
  2.9298,  -7.8127,  -5.0050
  2.8077,  -5.7375,  -4.5778
  2.9908,  -4.1505,  -4.2116
  3.2350,  -3.4791,  -3.7843
  3.5401,  -3.0519,  -3.6622
  3.7843,  -3.0519,  -3.5401
  4.2726,  -3.6012,  -3.4791
  4.6999,  -3.4791,  -3.3570
  5.1881,  -3.2350,  -3.1739
  5.6764,  -3.3570,  -2.7467
  6.1037,  -3.4791,  -2.1973
