x, y, z
  0.4949,  -0.7359,   0.9597
  0.4282,  -0.6857,   1.0126
  0.3523,  -0.6409,   1.1045
  0.2666,  -0.6024,   1.1938
  0.2326,  -0.5894,   1.2054
  0.2210,  -0.5862,   1.1852
  0.1995,  -0.5893,   1.1682
  0.1477,  -0.5790,   1.1762
  0.1028,  -0.5600,   1.2130
  0.0597,  -0.5554,   1.2470
  0.0045,  -0.5455,   1.2967
 -0.0464,  -0.5488,   1.3230
 -0.1000,  -0.5775,   1.3139
 -0.1284,  -0.6005,   1.2852
 -0.1454,  -0.6207,   1.2416
 -0.1583,  -0.6288,   1.2068
 -0.1832,  -0.6306,   1.1928
 -0.2393,  -0.6416,   1.1674
 -0.2543,  -0.6510,   1.1650
 -0.2953,  -0.6492,   1.2051
 -0.3773,  -0.6376,   1.2724
 -0.4494,  -0.6267,   1.3346
 -0.4673,  -0.6192,   1.3637
 -0.4699,  -0.6093,   1.3772
 -0.4530,  -0.6120,   1.3654
 -0.4164,  -0.6072,   1.3515
 -0.3922,  -0.6032,   1.3168
 -0.3805,  -0.6140,   1.2835
 -0.3773,  -0.6068,   1.2671
 -0.3804,  -0.6055,   1.2375
 -0.4115,  -0.6072,   1.2022
 -0.4290,  -0.5960,   1.1602
 -0.4489,  -0.6128,   1.1149
 -0.4916,  -0.6104,   1.1101
 -0.5322,  -0.6071,   1.1203
 -0.5592,  -0.6223,   1.1275
 -0.5965,  -0.6327,   1.1325
 -0.5929,  -0.6409,   1.1055
 -0.6035,  -0.6613,   1.0514
 -0.6319,  -0.6537,   1.0233
 -0.6699,  -0.6360,   0.9877
 -0.6768,  -0.6207,   0.9361
 -0.6489,  -0.6190,   0.8695
 -0.5847,  -0.6273,   0.7935
 -0.5523,  -0.6498,   0.7514
 -0.5647,  -0.6421,   0.7477
 -0.5695,  -0.6372,   0.7396
 -0.5885,  -0.6088,   0.7403
 -0.6309,  -0.5758,   0.7458
 -0.6764,  -0.5608,   0.7416
 -0.7193,  -0.5525,   0.7329
 -0.7472,  -0.5508,   0.7565
 -0.7604,  -0.5203,   0.7951
 -0.7570,  -0.5106,   0.7947
 -0.7345,  -0.5089,   0.7721
 -0.6936,  -0.5108,   0.7289
 -0.6270,  -0.5258,   0.6574
 -0.5708,  -0.5381,   0.5890
 -0.5153,  -0.5611,   0.5205
 -0.4811,  -0.5828,   0.4673
 -0.4672,  -0.5850,   0.4599
 -0.4551,  -0.5789,   0.4772
 -0.4269,  -0.5706,   0.4964
 -0.3673,  -0.5733,   0.5169
 -0.2985,  -0.5681,   0.5227
 -0.2427,  -0.5607,   0.5286
 -0.2056,  -0.5623,   0.5320
 -0.1947,  -0.5779,   0.5336
 -0.2000,  -0.5763,   0.5247
 -0.2050,  -0.5851,   0.4808
 -0.2250,  -0.5982,   0.4356
 -0.2534,  -0.5914,   0.4048
 -0.2708,  -0.5997,   0.3637
 -0.2738,  -0.6096,   0.3305
 -0.2680,  -0.6063,   0.3219
 -0.2521,  -0.5949,   0.3226
 -0.2136,  -0.6019,   0.3333
 -0.1901,  -0.5934,   0.3574
 -0.1791,  -0.5955,   0.3628
 -0.1738,  -0.6023,   0.3504
 -0.1657,  -0.5977,   0.3355
 -0.1333,  -0.5978,   0.3162
 -0.0842,  -0.5968,   0.3052
 -0.0298,  -0.5932,   0.2997
  0.0172,  -0.5968,   0.2910
  0.0782,  -0.6027,   0.2810
  0.1392,  -0.6082,   0.2871
  0.1737,  -0.6149,   0.2946
  0.1957,  -0.6234,   0.3069
