x, y, z
-22.4616, -57.3138, -94.2412
208.5635, -128.6660, -25.1473
535.1726, -75.1366,  60.4266
-28.3212,  36.5612,  -5.9816
-26.7342,  34.8521,  -4.3336
 -2.0142,   4.4557,  -8.2400
  7.2024,  -5.6764,  -9.2776
  7.6296,  -3.9674,  -8.4231
  7.5076,  -4.5167,  -7.7517
  6.9582,  -6.2258,  -7.0803
  6.0427,  -7.4465,  -6.4699
  5.0661,  -7.8127,  -5.6154
  4.1505,  -6.7751,  -4.6999
  3.2960,  -5.8596,  -3.6622
  2.8077,  -6.1037,  -2.6246
  2.4415,  -6.8361,  -1.5870
  2.4415,  -5.1271,  -0.3662
  2.4415,  -0.7324,   1.0987
  2.5025,   1.3428,   2.9298
  2.1973,   1.4039,   5.0050
  1.0987,   1.2207,   6.7141
 -0.1831,   1.8921,   8.1179
 -1.5259,   2.6246,   9.0335
 -2.8077,   1.8311,   9.4607
 -3.8453,  -0.1831,   9.8880
 -4.3336,  -0.4883,  10.4373
 -4.2726,   1.0987,  11.2308
 -4.1505,   1.2818,  12.0243
 -3.9674,   0.8545,  12.5126
 -3.5401,   0.1221,  12.8178
 -2.9908,  -0.6714,  12.5736
 -2.6246,  -1.0376,  11.8412
 -2.3194,  -1.7701,  10.6204
 -2.2584,  -3.4791,   9.2166
 -2.1973,  -5.4323,   7.9348
 -2.1973,  -6.5920,   6.9582
 -2.0753,  -6.2258,   6.4699
 -2.0753,  -3.6012,   6.3478
 -2.1973,  -1.7701,   6.4089
 -2.2584,  -1.5259,   6.4089
 -2.2584,  -0.9766,   6.1647
 -1.8921,  -0.6104,   5.9816
 -1.6480,  -1.0987,   5.7375
 -1.1597,  -1.2818,   5.5544
 -0.9156,  -1.2207,   5.6154
 -0.4883,  -0.9156,   5.7375
 -0.1831,   0.2441,   5.8596
  0.1831,   2.9298,   5.9206
  0.4273,   5.2492,   6.1037
  0.6104,   5.3713,   6.1647
  0.3662,   5.1271,   5.9206
  0.1221,   4.0284,   5.4323
 -0.0610,   3.1129,   4.7609
 -0.4273,   2.2584,   4.0895
 -0.9156,   1.5870,   3.4181
 -1.4039,   2.1973,   2.8077
 -1.8311,   3.6012,   2.3804
 -1.7701,   3.9674,   1.7701
 -1.5870,   3.7843,   1.0376
 -0.9156,   2.5636,   0.3052
  0.0610,   1.3428,  -0.3662
  0.7324,   0.5493,  -1.1597
  1.3428,  -0.0610,  -1.8921
  1.8921,  -1.0376,  -2.6246
  2.5636,  -0.8545,  -3.4791
  3.1129,  -1.1597,  -4.2726
  3.7233,  -2.0142,  -4.8219
  4.2726,  -2.1363,  -4.9440
  4.4557,  -1.7090,  -4.5778
  4.3336,  -1.4039,  -3.9064
  4.2116,  -1.0987,  -3.1739
  4.0284,   0.7935,  -2.6856
  4.0895,   1.5870,  -2.5636
  4.3336,   2.7467,  -2.6246
  4.5167,   7.6907,  -2.9298
  4.1505,  10.9256,  -3.4181
  3.4181,  11.4139,  -4.3336
  2.0753,  11.6581,  -5.7985
  0.3662,  13.6723,  -7.4465
 -1.0376,  15.4424,  -9.1556
 -1.9532,  15.9917, -10.4373
 -2.6856,  17.0904, -11.9022
 -2.7467,  18.6163, -14.1606
 -2.3804,  21.1188, -16.6021
 -2.1363,  24.9641, -19.4708
 -1.7090,  27.7108, -22.4616
 -0.7935,  28.8705, -25.8187
  0.2441,  29.7250, -29.1147
  1.2207,  30.9458, -32.2275
  2.0753,  32.1055, -35.0352
  3.0519,  34.2418, -37.5378
  4.2726,  38.3312, -39.5520
  5.5544,  41.2000, -41.1390
  7.0193,  41.3221, -42.4207
  8.4231,  42.7259, -43.5194
  9.3997,  44.9843, -44.6181
 10.4373,  47.3037, -45.2284
 12.2074,  50.5997, -46.2050
 14.8320,  53.1022, -47.5478
 18.0059,  55.4827, -48.8296
 21.6681,  59.5721, -49.8062
 25.3304,  60.4266, -50.2335
 28.5653,  59.8163, -50.5997
 30.9458,  56.1541, -51.0269
 32.8379,  54.2619, -51.3321
 34.7301,  51.2711, -51.2711
 36.3170,  49.5621, -50.6607
 37.4157,  52.8581, -49.6841
 38.3312,  57.1917, -48.0972
 39.6130,  60.6708, -45.7167
 41.3221,  65.3096, -43.6415
 44.0077,  68.2394, -41.5052
 47.0595,  67.3849, -39.3078
 49.6231,  66.5914, -37.1715
 51.7594,  65.4927, -35.0352
 53.5905,  63.6616, -32.5938
 54.9333,  59.2059, -29.8471
 56.0930,  54.8112, -27.4056
 57.8021,  52.1256, -25.5135
 59.8773,  51.6984, -23.3772
 62.1357,  56.6424, -21.1188
 63.7226,  58.4124, -18.5553
 64.4551,  56.3372, -15.3813
 64.8824,  51.5763, -11.5970
 65.0655,  45.6557,  -7.0193
 65.3096,  42.1155,  -2.2584
 65.7369,  38.3312,   2.0142
 66.7745,  35.4625,   5.7985
 68.5446,  33.7535,   9.0335
 71.1081,  31.9224,  12.2684
 74.2210,  31.8003,  15.2593
 76.7846,  31.8613,  18.0670
 78.3715,  32.1055,  21.1188
 79.5923,  32.8990,  24.1096
 80.3247,  32.1665,  26.7953
 80.4468,  29.3588,  28.8705
 80.6909,  25.5745,  30.3964
 81.3623,  21.4850,  31.1289
 82.0948,  17.7618,  30.9458
 83.1324,  12.9398,  30.0912
 83.9869,  11.1087,  29.1757
 83.4986,   8.4841,  28.3822
 83.1935,   2.3194,  28.0770
 83.4376,  -0.4273,  27.1615
 83.3155,  -3.7843,  26.0628
 83.2545, -10.0711,  25.2693
 83.3766, -14.7099,  24.3538
 83.3155, -18.0059,  24.1707
 82.7662, -19.2877,  24.5979
 81.3623, -19.1656,  25.5135
 79.1040, -16.6631,  26.8563
 75.0145, -16.0527,  28.1381
